year,source,age
2011,bycaught,4
2011,bycaught,3
2011,bycaught,27
2012,bycaught,1
2012,bycaught,0
2012,bycaught,0
2012,bycaught,0
2012,bycaught,0
2012,bycaught,13
2012,bycaught,0
2012,bycaught,8
2012,bycaught,19
2013,bycaught,0
2013,bycaught,3
2013,bycaught,3
2014,bycaught,0
2014,bycaught,0
2014,bycaught,0
2014,bycaught,0
2014,bycaught,0
2014,bycaught,0
2014,bycaught,0
2014,bycaught,0
2014,bycaught,1
2014,bycaught,4
2015,bycaught,21
2015,bycaught,10
2015,bycaught,1
2017,bycaught,0
2017,bycaught,0
2017,bycaught,0
2018,bycaught,0
2003,bycaught,0
2003,bycaught,2
2003,bycaught,4
2003,bycaught,3
2004,bycaught,0
2004,bycaught,12
2004,bycaught,2
2004,bycaught,2
2004,bycaught,3
2003,bycaught,3
2004,bycaught,17
2005,bycaught,16
2005,bycaught,3
2005,bycaught,4
2005,bycaught,3
2005,bycaught,3
2005,bycaught,3
2005,bycaught,0
2005,bycaught,1
2005,bycaught,1
2005,bycaught,20
2005,bycaught,19
2005,bycaught,1
2005,bycaught,1
2005,bycaught,0
2005,bycaught,3
2006,bycaught,5
2006,bycaught,21
2006,bycaught,0
2006,bycaught,3
2006,bycaught,2
2006,bycaught,1
2006,bycaught,5
2005,bycaught,1
2006,bycaught,3
2006,bycaught,3
2007,bycaught,1
2007,bycaught,1
2007,bycaught,5
2007,bycaught,2
2007,bycaught,3
2007,bycaught,2
2007,bycaught,13
2007,bycaught,3
2007,bycaught,1
2007,bycaught,15
2007,bycaught,9
2008,bycaught,1
2007,bycaught,0
2008,bycaught,3
2008,bycaught,4
2009,bycaught,10
2009,bycaught,14
2009,bycaught,0
2009,bycaught,3
2009,bycaught,0
2009,bycaught,8
2010,bycaught,0
2010,bycaught,0
2010,bycaught,0
2009,bycaught,1
2009,bycaught,0
2009,bycaught,0
2010,bycaught,0
2010,bycaught,0
2010,bycaught,0
2010,bycaught,1
2010,bycaught,0
2010,bycaught,0
2010,bycaught,0
2010,bycaught,0
2010,bycaught,0
2010,bycaught,2
2009,bycaught,6
2010,bycaught,0
2011,bycaught,0
2011,bycaught,0
2011,bycaught,0
2011,bycaught,0
2010,bycaught,2
2010,bycaught,0
2010,bycaught,0
