year,source,age
2004,hunted,11
2009,hunted,6
2010,hunted,12
2010,hunted,9
2010,hunted,0
2010,hunted,0
2010,hunted,8
2010,hunted,2
2010,hunted,1
2010,hunted,0
2010,hunted,5
2010,hunted,0
2010,hunted,0
2010,hunted,12
2010,hunted,10
2010,hunted,3
2010,hunted,4
2011,hunted,2
2011,hunted,24
2011,hunted,2
2011,hunted,2
2011,hunted,0
2011,hunted,1
2011,hunted,2
2011,hunted,0
2011,hunted,8
2011,hunted,1
2011,hunted,4
2011,hunted,2
2011,hunted,2
2011,hunted,6
2011,hunted,1
2011,hunted,4
2011,hunted,19
2011,hunted,6
2011,hunted,28
2011,hunted,11
2011,hunted,7
2011,hunted,7
2011,hunted,11
2011,hunted,15
2011,hunted,5
2011,hunted,7
2011,hunted,8
2011,hunted,13
2011,hunted,8
2011,hunted,9
2011,hunted,14
2011,hunted,0
2011,hunted,0
2011,hunted,0
2011,hunted,0
2011,hunted,0
2011,hunted,0
2011,hunted,0
2011,hunted,21
2011,hunted,1
2011,hunted,2
2011,hunted,9
2011,hunted,4
2012,hunted,1
2012,hunted,21
2012,hunted,13
2012,hunted,1
2012,hunted,4
2012,hunted,5
2012,hunted,22
2012,hunted,13
2012,hunted,0
2012,hunted,11
2012,hunted,0
2012,hunted,0
2012,hunted,11
2012,hunted,17
2012,hunted,7
2012,hunted,12
2012,hunted,5
2012,hunted,8
2012,hunted,17
2012,hunted,0
2012,hunted,8
2012,hunted,9
2012,hunted,15
2012,hunted,4
2012,hunted,9
2012,hunted,15
2012,hunted,9
2012,hunted,0
2012,hunted,0
2012,hunted,2
2012,hunted,0
2012,hunted,0
2012,hunted,0
2012,hunted,9
2012,hunted,17
2013,hunted,0
2013,hunted,0
2013,hunted,6
2013,hunted,4
2013,hunted,16
2013,hunted,0
2013,hunted,0
2013,hunted,10
2013,hunted,26
2013,hunted,18
2013,hunted,6
2013,hunted,12
2013,hunted,0
2013,hunted,0
2012,hunted,0
2012,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,0
2013,hunted,6
2013,hunted,0
2011,hunted,0
2014,hunted,8
2014,hunted,15
2014,hunted,0
2014,hunted,7
2014,hunted,5
2014,hunted,7
2014,hunted,6
2014,hunted,16
2014,hunted,14
2014,hunted,9
2014,hunted,5
2014,hunted,10
2014,hunted,15
2014,hunted,8
2014,hunted,16
2014,hunted,19
2014,hunted,10
2014,hunted,10
2014,hunted,17
2014,hunted,15
2014,hunted,10
2014,hunted,9
2014,hunted,13
2014,hunted,5
2014,hunted,6
2014,hunted,19
2014,hunted,7
2014,hunted,0
2014,hunted,0
2014,hunted,7
2014,hunted,7
2014,hunted,0
2014,hunted,16
2014,hunted,21
2014,hunted,19
2014,hunted,13
2014,hunted,20
2014,hunted,11
2014,hunted,8
2014,hunted,3
2014,hunted,18
2014,hunted,5
2014,hunted,0
2014,hunted,0
2014,hunted,23
2014,hunted,0
2014,hunted,0
2014,hunted,0
2014,hunted,4
2014,hunted,0
2014,hunted,4
2014,hunted,16
2014,hunted,20
2014,hunted,12
2014,hunted,18
2014,hunted,17
2014,hunted,15
2014,hunted,5
2014,hunted,7
2014,hunted,12
2014,hunted,4
2014,hunted,0
2014,hunted,8
2014,hunted,8
2014,hunted,4
2014,hunted,6
2014,hunted,18
2014,hunted,5
2014,hunted,9
2014,hunted,17
2014,hunted,24
2014,hunted,13
2014,hunted,0
2014,hunted,4
2014,hunted,3
2014,hunted,12
2014,hunted,1
2014,hunted,0
2014,hunted,1
2014,hunted,17
2014,hunted,3
2014,hunted,4
2014,hunted,18
2014,hunted,3
2014,hunted,9
2015,hunted,5
2015,hunted,9
2015,hunted,0
2015,hunted,10
2015,hunted,18
2015,hunted,11
2015,hunted,3
2015,hunted,7
2015,hunted,0
2015,hunted,0
2015,hunted,0
2015,hunted,15
2015,hunted,9
2015,hunted,2
2015,hunted,0
2015,hunted,0
2015,hunted,0
2015,hunted,1
2015,hunted,8
2015,hunted,13
2015,hunted,7
2015,hunted,0
2015,hunted,0
2015,hunted,0
2015,hunted,0
2015,hunted,0
2015,hunted,6
2014,hunted,15
2014,hunted,0
2016,hunted,0
2016,hunted,0
2016,hunted,20
2016,hunted,30
2016,hunted,25
2015,hunted,11
2015,hunted,12
2016,hunted,8
2016,hunted,15
2016,hunted,16
2016,hunted,1
2013,hunted,0
2016,hunted,1
2016,hunted,1
2016,hunted,1
2016,hunted,0
2016,hunted,0
2017,hunted,16
2017,hunted,18
2017,hunted,3
2017,hunted,1
2017,hunted,1
2017,hunted,5
2017,hunted,2
2017,hunted,1
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,1
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,7
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,5
2017,hunted,21
2017,hunted,0
2017,hunted,2
2017,hunted,13
2017,hunted,16
2017,hunted,15
2017,hunted,22
2017,hunted,9
2017,hunted,2
2017,hunted,5
2017,hunted,8
2017,hunted,1
2017,hunted,5
2017,hunted,1
2017,hunted,11
2017,hunted,2
2017,hunted,2
2017,hunted,23
2017,hunted,10
2017,hunted,1
2017,hunted,8
2017,hunted,0
2017,hunted,0
2017,hunted,1
2017,hunted,5
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,0
2017,hunted,0
2018,hunted,0
2018,hunted,6
2018,hunted,8
2018,hunted,0
2018,hunted,22
2018,hunted,3
2018,hunted,9
2018,hunted,1
2018,hunted,13
2018,hunted,0
2018,hunted,0
2018,hunted,0
2018,hunted,1
2018,hunted,0
2018,hunted,11
2018,hunted,16
2018,hunted,12
2018,hunted,21
2018,hunted,8
2018,hunted,7
2018,hunted,0
2018,hunted,6
2018,hunted,24
2018,hunted,3
2018,hunted,11
2018,hunted,14
2018,hunted,15
2018,hunted,14
2018,hunted,23
2018,hunted,3
2018,hunted,4
2018,hunted,3
2018,hunted,10
2018,hunted,25
2018,hunted,15
2018,hunted,5
2018,hunted,17
2018,hunted,5
2018,hunted,7
2018,hunted,7
2018,hunted,11
2019,hunted,0
2019,hunted,7
2019,hunted,0
2019,hunted,0
2019,hunted,0
2019,hunted,0
2019,hunted,2
2019,hunted,0
2019,hunted,0
2019,hunted,3
2019,hunted,4
2019,hunted,0
2019,hunted,0
2019,hunted,3
2019,hunted,2
2019,hunted,2
2019,hunted,3
2019,hunted,1
2019,hunted,1
2019,hunted,1
2019,hunted,0
2019,hunted,1
2019,hunted,16
2019,hunted,0
2019,hunted,0
2019,hunted,23
2019,hunted,25
2019,hunted,0
2019,hunted,1
2019,hunted,0
2019,hunted,0
2019,hunted,0
2019,hunted,0
2019,hunted,0
2019,hunted,18
2019,hunted,16
2019,hunted,0
2018,hunted,0
2019,hunted,0
2019,hunted,1
2019,hunted,0
2019,hunted,17
2019,hunted,0
2019,hunted,1
2019,hunted,1
2019,hunted,16
2009,hunted,2
2009,hunted,5
2009,hunted,7
2009,hunted,0
2009,hunted,17
2009,hunted,1
2009,hunted,4
2009,hunted,2
2009,hunted,2
2009,hunted,11
2009,hunted,4
2009,hunted,1
2009,hunted,1
2009,hunted,1
2009,hunted,1
2009,hunted,1
2009,hunted,6
2009,hunted,15
2009,hunted,4
2009,hunted,4
2009,hunted,1
2009,hunted,4
2010,hunted,20
2010,hunted,1
2009,hunted,16
2009,hunted,3
2009,hunted,16
2009,hunted,2
2009,hunted,4
2009,hunted,2
2009,hunted,0
2009,hunted,2
2009,hunted,4
2010,hunted,9
2010,hunted,0
2010,hunted,20
2010,hunted,0
2010,hunted,0
2010,hunted,8
2010,hunted,7
2010,hunted,10
2010,hunted,15
2010,hunted,5
2010,hunted,8
2010,hunted,0
2010,hunted,0
2010,hunted,14
2010,hunted,15
2010,hunted,10
2010,hunted,14
2010,hunted,19
2010,hunted,4
2010,hunted,14
2010,hunted,7
2010,hunted,12
2010,hunted,3
2010,hunted,5
2010,hunted,2
2010,hunted,16
2010,hunted,4
2010,hunted,14
2010,hunted,0
2010,hunted,3
2010,hunted,3
2010,hunted,14
2010,hunted,7
2010,hunted,6
2010,hunted,10
2010,hunted,4
2010,hunted,7
2010,hunted,5
2011,hunted,0
2010,hunted,4
2010,hunted,4
2010,hunted,3
2010,hunted,3
2010,hunted,13
2011,hunted,1
2011,hunted,1
2011,hunted,0
2011,hunted,25
2011,hunted,8
2011,hunted,15
2011,hunted,8
2011,hunted,0
2011,hunted,15
2011,hunted,14
2011,hunted,4
2011,hunted,0
2011,hunted,4
2011,hunted,0
2011,hunted,20
2011,hunted,9
2011,hunted,11
2011,hunted,7
2012,hunted,0
2012,hunted,10
2012,hunted,3
2012,hunted,4
2012,hunted,0
2011,hunted,0
2012,hunted,0
2012,hunted,25
2011,hunted,9
2011,hunted,18
2011,hunted,5
2012,hunted,22
2013,hunted,0
2013,hunted,2
2013,hunted,14
2012,hunted,18
2012,hunted,4
2012,hunted,4
2012,hunted,3
2012,hunted,8
2012,hunted,7
2012,hunted,4
2012,hunted,6
2012,hunted,9
2012,hunted,11
2012,hunted,3
2013,hunted,6
2013,hunted,6
2013,hunted,6
2013,hunted,4
2013,hunted,11
2013,hunted,8
2013,hunted,0
2013,hunted,0
2012,hunted,5
2012,hunted,3
2012,hunted,11
2012,hunted,13
2012,hunted,4
2013,hunted,7
2013,hunted,18
2012,hunted,0
2012,hunted,2
2012,hunted,9
2013,hunted,6
2012,hunted,17
2012,hunted,21
2012,hunted,18
2012,hunted,14
2013,hunted,3
2013,hunted,6
2013,hunted,9
2013,hunted,2
2013,hunted,4
2013,hunted,3
2013,hunted,1
2013,hunted,13
2013,hunted,6
2013,hunted,8
2013,hunted,8
2013,hunted,4
2013,hunted,5
2013,hunted,10
2013,hunted,2
2013,hunted,18
2013,hunted,5
2013,hunted,15
2013,hunted,8
2014,hunted,19
2014,hunted,0
2013,hunted,3
2013,hunted,3
2014,hunted,9
2014,hunted,7
2014,hunted,8
2014,hunted,8
2014,hunted,1
2014,hunted,9
2013,hunted,8
2013,hunted,10
2013,hunted,5
2013,hunted,6
2014,hunted,0
2014,hunted,3
2014,hunted,0
2014,hunted,0
2014,hunted,5
2014,hunted,4
2014,hunted,18
2014,hunted,10
2014,hunted,5
2015,hunted,10
2015,hunted,1
2015,hunted,3
2015,hunted,2
2015,hunted,3
2015,hunted,0
2015,hunted,3
2015,hunted,9
2015,hunted,5
2015,hunted,1
2015,hunted,0
2015,hunted,0
2015,hunted,0
2015,hunted,5
2015,hunted,0
2015,hunted,2
2015,hunted,8
2015,hunted,7
2015,hunted,4
2015,hunted,17
2015,hunted,8
2014,hunted,6
2015,hunted,12
2015,hunted,0
2015,hunted,2
2015,hunted,8
2015,hunted,13
2015,hunted,2
2015,hunted,2
2015,hunted,0
2015,hunted,10
2015,hunted,11
2015,hunted,0
2015,hunted,12
2015,hunted,6
2016,hunted,5
2016,hunted,0
2016,hunted,3
2016,hunted,2
2016,hunted,12
2016,hunted,0
2016,hunted,22
2016,hunted,4
2016,hunted,10
2016,hunted,4
2016,hunted,22
2016,hunted,0
2016,hunted,6
2016,hunted,11
2016,hunted,13
2016,hunted,15
2016,hunted,4
2016,hunted,3
2016,hunted,8
2016,hunted,15
2016,hunted,12
2016,hunted,0
2016,hunted,4
2016,hunted,4
2016,hunted,19
2016,hunted,11
2016,hunted,6
2017,hunted,0
2017,hunted,6
2014,hunted,0
2016,hunted,5
2014,hunted,0
2017,hunted,1
2017,hunted,1
2017,hunted,1
2017,hunted,4
2017,hunted,6
2017,hunted,7
2017,hunted,14
2017,hunted,0
2017,hunted,0
2017,hunted,18
2017,hunted,18
2017,hunted,18
2017,hunted,3
2017,hunted,0
2017,hunted,3
2017,hunted,4
2017,hunted,13
2017,hunted,0
2016,hunted,5
2017,hunted,0
2017,hunted,25
2017,hunted,1
2016,hunted,11
2016,hunted,5
2017,hunted,16
2018,hunted,13
2018,hunted,2
2018,hunted,0
2018,hunted,2
2018,hunted,12
2018,hunted,1
2018,hunted,0
2018,hunted,0
2018,hunted,5
2018,hunted,12
2018,hunted,0
2018,hunted,3
2018,hunted,22
2018,hunted,0
2018,hunted,0
2018,hunted,5
2018,hunted,7
2018,hunted,3
2015,hunted,17
2018,hunted,5
2018,hunted,9
2018,hunted,6
2018,hunted,3
2018,hunted,12
2018,hunted,9
2018,hunted,3
2017,hunted,0
2018,hunted,2
2018,hunted,2
2016,hunted,5
2018,hunted,2
2018,hunted,2
2018,hunted,0
2018,hunted,0
2018,hunted,1
2018,hunted,1
