"","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Female 0",0,0,0,1,0,1,0,1,0,0,6,1,2,0,0,3,1,0,0,0,0,0,0
"Female 1",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"Female 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Female 3",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Female 4",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Female 5+",0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
"Male 0",0,0,0,5,0,1,1,1,1,0,4,0,1,10,0,1,0,0,5,9,9,3,0
"Male 1",0,0,0,0,0,1,1,0,0,0,0,2,1,2,0,0,0,0,3,1,0,0,0
"Male 2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Male 3",0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0
"Male 4",0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,1,2,0,0
"Male 5+",0,0,0,0,0,3,2,1,1,3,17,6,0,3,0,0,0,0,3,3,10,0,0
