"","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Female 0",2,0,6,17,12,8,1,10,15,22,10,15,5,3,2,2,4,0,3,5,22,7,5
"Female 1",0,0,1,5,1,4,2,3,2,0,1,0,1,2,0,5,0,1,0,0,0,1,0
"Female 2",0,1,3,2,2,2,0,0,2,5,4,2,2,0,4,4,0,0,0,0,0,0,0
"Female 3",0,1,3,5,3,2,1,1,0,3,3,1,3,0,2,1,1,0,0,0,0,0,0
"Female 4",0,0,0,1,1,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
"Female 5+",0,0,2,5,4,6,2,4,1,3,1,1,0,2,5,1,1,0,3,0,1,0,0
"Male 0",1,5,6,11,17,10,6,9,19,24,11,14,8,5,3,7,5,1,0,3,19,14,5
"Male 1",0,0,0,3,2,0,4,2,2,0,1,0,0,1,3,1,1,0,0,0,0,0,0
"Male 2",0,2,6,9,7,4,3,3,2,4,10,5,2,4,2,3,0,1,1,0,1,2,0
"Male 3",0,3,6,4,3,7,5,2,3,2,5,8,3,1,1,0,1,1,0,0,0,2,0
"Male 4",0,3,2,3,3,3,2,2,2,3,2,2,6,3,1,1,1,0,0,0,0,0,0
"Male 5+",1,5,11,16,18,6,13,19,14,10,14,10,8,7,2,3,4,0,3,5,0,3,3
