"","Year","Hunting_bag_FI","Quota_FI","Hunting_bag_SW","Quota_SW"
"1",2002,225,433,79,150
"2",2003,315,598,77,170
"3",2004,441,783,71,170
"4",2005,430,885,83,170
"5",2006,260,1065,107,173
"6",2007,401,1135,96,210
"7",2008,588,1500,130,230
"8",2009,621,1500,128,230
"9",2010,494,1500,92,230
"10",2011,380,1500,72,230
"11",2012,292,1500,92,230
"12",2013,238,1500,102,250
"13",2014,287,1500,110,290
"14",2015,303,1500,285,310
"15",2016,268,1500,201,480
"16",2017,290,1500,263,525
"17",2018,348,1500,499,600
"18",2019,628,1500,1071,1100
"19",2020,446,1550,1028,2000
"20",2021,620,1550,928,2000
"21",2022,447,1550,684,2000
"22",2023,510,1550,727,1500
"23",2024,550,1550,761,1500
