"","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Female 0",3,3,10,6,8,9,5,17,13,12,15,22,22,12,4,21,7,22,16,22,8,6,0
"Female 1",2,5,9,6,14,1,4,5,3,4,5,0,2,3,4,8,2,7,4,3,2,0,0
"Female 2",0,5,1,3,4,2,0,5,3,8,1,0,0,2,0,5,0,3,6,4,0,0,0
"Female 3",3,3,4,1,12,5,4,5,2,0,0,0,4,1,0,1,4,2,2,2,1,0,0
"Female 4",2,5,4,8,7,4,1,7,2,3,2,1,6,0,0,0,1,1,0,1,0,0,0
"Female 5+",24,48,62,68,85,14,18,70,42,31,28,13,64,17,6,19,27,8,14,1,6,0,0
"Male 0",10,7,26,13,9,8,12,12,10,9,22,22,38,15,4,12,11,19,22,40,33,18,0
"Male 1",2,14,6,8,5,4,4,5,3,2,3,4,3,9,4,3,5,6,5,3,6,0,0
"Male 2",0,4,3,3,5,1,2,6,2,3,1,0,3,0,0,0,1,6,3,3,0,0,0
"Male 3",1,6,4,4,10,0,4,6,6,3,1,1,5,1,1,2,3,9,3,4,2,0,0
"Male 4",1,3,1,3,2,2,1,4,2,1,3,2,2,0,0,1,2,1,7,2,3,0,0
"Male 5+",5,24,26,33,26,31,18,24,25,25,15,11,24,8,1,3,15,7,25,18,15,0,0
