"Scenario","year","lb","md","ub"
"Mean of historical",2025,0.768813542745216,0.833733427447806,0.892199009088139
"Mean of historical",2026,0.72989785837287,0.794005295819231,0.853672802718953
"Mean of historical",2027,0.713106131670132,0.787166996602247,0.849558580670121
"Mean of historical",2028,0.694428370679265,0.779911501425821,0.845780706562726
"Mean of historical",2029,0.659533206179756,0.770615185448818,0.841752885921526
"Mean of historical",2030,0.613774712037631,0.75847383924644,0.834488002753506
"Mean of historical",2031,0.5583732621035,0.742910012857629,0.82982464520977
"Mean of historical",2032,0.510769248937099,0.723843126459583,0.822878949106
"Mean of historical",2033,0.470247754919023,0.700373859959738,0.81601384293958
"Mean of historical",2034,0.43927432140238,0.670095878832565,0.810436643416013
"Mean of historical",2035,0.41303062301277,0.634087623930897,0.803800177438491
"Mean of historical",2036,0.390433001896451,0.59450138132745,0.787357454209197
"Mean of historical",2037,0.376307756919376,0.55638520199008,0.768538071855807
"Mean of historical",2038,0.366605470649242,0.521159105047002,0.748908469432616
"Mean of historical",2039,0.356469240804055,0.490754810310864,0.728116988373828
"Mean of historical",2040,0.344044823055279,0.462925920646437,0.705723785077025
"Mean of historical",2041,0.336461400224384,0.440800333324652,0.679047854893525
"Mean of historical",2042,0.332250314720543,0.422681408821364,0.652056258523984
"Mean of historical",2043,0.325628779077164,0.40930699271862,0.619585836196167
"Mean of historical",2044,0.321208887210692,0.398901359561907,0.586212835880036
"Mean of historical",2045,0.31674610890694,0.389192026514713,0.556435557720106
"Mean of historical",2046,0.313372330134452,0.381687196372033,0.523584396505218
"Mean of historical",2047,0.309363540530443,0.375020510156708,0.496572040328068
"Mean of historical",2048,0.305343748747011,0.370101103938105,0.470942693550399
"Mean of historical",2049,0.303842342968627,0.367677483031191,0.456369182563251
"Mean of historical",2050,0.300859748992813,0.36407834589631,0.445953275072924
"Mean of historical",2051,0.300506772077584,0.361251517556971,0.43774973011926
"Mean of historical",2052,0.295562253814723,0.358825916620237,0.431259253476458
"Mean of historical",2053,0.294686117421278,0.356398542321681,0.425984714366652
"Mean of historical",2054,0.292334482536042,0.355344080786879,0.422088533971374
"Mean of historical",2055,0.292511960332595,0.353840071832663,0.41796100446509
"Mean of historical",2056,0.289262111286104,0.352533555710022,0.413542515361046
"Mean of historical",2057,0.291339810536978,0.351670651597007,0.410515295507306
"Mean of historical",2058,0.287855603799666,0.350737078387149,0.407193136157617
"Mean of historical",2059,0.288649548507312,0.349701152047638,0.405251387792349
"Mean of historical",2060,0.286653557711165,0.349948944173643,0.403148416319225
"+0.2g/yr",2025,0.768813542745216,0.833733427447806,0.892199009088139
"+0.2g/yr",2026,0.732797322810448,0.79721117363425,0.857094197101125
"+0.2g/yr",2027,0.72115138673244,0.794925886473963,0.855719716751162
"+0.2g/yr",2028,0.703713165346402,0.792186343082994,0.855884591176543
"+0.2g/yr",2029,0.671441445241622,0.787437547028491,0.8540787636576
"+0.2g/yr",2030,0.62276579599469,0.780245989246909,0.849952324092666
"+0.2g/yr",2031,0.569697322367534,0.767705379096861,0.850626652300258
"+0.2g/yr",2032,0.524892156518384,0.750306015618766,0.848126399771979
"+0.2g/yr",2033,0.478016011605896,0.726658463546014,0.845955392572336
"+0.2g/yr",2034,0.442638005457791,0.693032655173437,0.843122535561492
"+0.2g/yr",2035,0.418773066479804,0.651764650877012,0.83788262024584
"+0.2g/yr",2036,0.393401559244573,0.609046165705051,0.827172253003759
"+0.2g/yr",2037,0.380935176141833,0.566813714024119,0.811951399022523
"+0.2g/yr",2038,0.36925466088027,0.527179547626433,0.792544849084139
"+0.2g/yr",2039,0.358302930387551,0.492281249455979,0.775457576853301
"+0.2g/yr",2040,0.347930274552509,0.465091096551873,0.744341815535923
"+0.2g/yr",2041,0.339369397632237,0.440348709949397,0.715432500593615
"+0.2g/yr",2042,0.33301377310394,0.423183563742756,0.664999833161354
"+0.2g/yr",2043,0.325520297787925,0.409193207984509,0.624975906955504
"+0.2g/yr",2044,0.322044514355774,0.397192982091773,0.577136340442844
"+0.2g/yr",2045,0.316464424433288,0.388193571333841,0.547822298164984
"+0.2g/yr",2046,0.31223931491899,0.380815376036125,0.513074766222679
"+0.2g/yr",2047,0.306321519567727,0.374510756783263,0.484733755207637
"+0.2g/yr",2048,0.305452378129849,0.370984851526036,0.465461343221838
"+0.2g/yr",2049,0.302088525308479,0.366200653543021,0.45140911087618
"+0.2g/yr",2050,0.301066493189633,0.363387329221991,0.443367491189474
"+0.2g/yr",2051,0.297944132482767,0.360184191745987,0.433193124596203
"+0.2g/yr",2052,0.296816131177787,0.357819025873881,0.426965861103333
"+0.2g/yr",2053,0.293842203961549,0.356047205943379,0.419980950544306
"+0.2g/yr",2054,0.292996904243434,0.355071621929192,0.415899021677653
"+0.2g/yr",2055,0.291210628795854,0.3535902247751,0.413259891997595
"+0.2g/yr",2056,0.290210550253941,0.352921814655667,0.409107693777172
"+0.2g/yr",2057,0.289239071191352,0.351097584634332,0.406667233216773
"+0.2g/yr",2058,0.288910732579208,0.350835748108259,0.407426275220058
"+0.2g/yr",2059,0.28705286385062,0.350730431401165,0.404962859469211
"+0.2g/yr",2060,0.286832524449159,0.349477217671372,0.406299304398355
"-0.2g/yr",2025,0.768813542745216,0.833733427447806,0.892199009088139
"-0.2g/yr",2026,0.726667532853094,0.790808887578011,0.85038125378573
"-0.2g/yr",2027,0.708329001873373,0.781313628250038,0.84443657454218
"-0.2g/yr",2028,0.687425324908338,0.771602923745565,0.839378110672303
