"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
5499.5,3738.5,3037.5,2555.5,2482,13287.5,5499,3784.5,3003,2444,2309,10008
5591,4119,3345.5,2738,2307.5,14236.5,5601.5,4196,3294.5,2628,2134,10802
5841,4206,3678.5,3005,2472,14964.5,5820.5,4294,3657,2890.5,2296,11308.5
6089,4373.5,3753,3323,2715,15741,6087.5,4456,3750.5,3209,2528,11905.5
6378,4577.5,3917.5,3380,2997,16682.5,6388.5,4659.5,3900,3278,2806,12643.5
6734.5,4792.5,4086,3518,3066.5,17823,6725,4874,4074,3424,2870.5,13515.5
7036,5057,4294.5,3679,3199.5,18920,7029.5,5145,4264,3573,2995,14380.5
7269,5273.5,4522,3867,3325.5,20022,7296.5,5338,4517.5,3755,3135.5,15252.5
7484.5,5469.5,4716,4081.5,3497,21141.5,7507,5546.5,4682,3962.5,3285,16105.5
7674,5635.5,4902.5,4256.5,3692,22329.5,7686,5721,4863,4136,3469,16987
7835,5785.5,5038,4426,3852.5,23571.5,7847.5,5894.5,5023,4273,3622.5,18022.5
7954,5887.5,5176,4546,4003,24878.5,7956,6027.5,5167,4426.5,3752,18941
8005.5,5951,5300.5,4692,4128,26129.5,8012,6124.5,5293,4539,3885.5,19901
8000.5,6014.5,5355.5,4787,4246,27451,8007.5,6186.5,5373.5,4646.5,3997.5,20879.5
7965,6026.5,5384.5,4842.5,4333.5,28696.5,7957.5,6158,5403.5,4721.5,4079.5,21911.5
7881.5,5983,5399,4862,4398,30021.5,7906,6144,5395.5,4753,4128,22754
7820.5,5955.5,5358,4873.5,4404,31161,7795,6101,5386,4763.5,4157,23578.5
7739,5904,5348.5,4862.5,4416.5,32320,7753,6054,5346.5,4741,4174.5,24329.5
7659,5858,5305.5,4837,4394.5,33447,7663.5,6007.5,5274,4718,4149.5,25065
7600,5811.5,5232,4792.5,4380,34295,7635,5949,5262,4648.5,4122.5,25620.5
7557.5,5738.5,5205,4753.5,4347.5,35065,7555,5891,5207.5,4607,4077,26076
7503,5699.5,5153,4692.5,4283,35872,7506.5,5862.5,5140,4577.5,4049,26562
7473.5,5671,5113.5,4652.5,4236,36474.5,7491,5810.5,5116.5,4531.5,4010,26833
7433,5621.5,5088.5,4620.5,4220.5,37074,7416.5,5765,5086.5,4503.5,3970,27077
7388,5627.5,5049.5,4596,4179.5,37506.5,7411,5755.5,5050.5,4482,3966.5,27300.5
7360.5,5556,5041.5,4554,4161,37750.5,7380.5,5749.5,5036,4434.5,3934.5,27474.5
7391,5556.5,5011,4546,4129.5,38103.5,7348,5694.5,5030.5,4433,3889,27676
7362.5,5554.5,5003.5,4524.5,4119,38342.5,7326.5,5717.5,4990,4415.5,3890,27718.5
7379,5555,5001,4519.5,4101.5,38605,7353,5711,5003.5,4398.5,3887.5,27794.5
7344.5,5553.5,4985,4508,4091,38838.5,7328,5704.5,4985.5,4386.5,3855.5,27914
7367,5542.5,4983,4503,4094.5,38971.5,7325,5677.5,4968.5,4380.5,3852,27946.5
7333.5,5550,4981.5,4479,4088.5,39110,7353.5,5659,4955.5,4355.5,3850,27963
7323,5529,4992,4503,4078,39207,7340,5673,4998.5,4352,3838,28021.5
7321.5,5512.5,4962.5,4503.5,4064.5,39331.5,7323,5675,4967,4364.5,3835,28002
7319,5529,4959.5,4483,4076.5,39401,7348,5656,4970.5,4356.5,3841,27984.5
7318.5,5510,4970.5,4489.5,4065.5,39477.5,7315,5662.5,4964.5,4362,3832,27980
7330.5,5500.5,4945.5,4490,4059.5,39487.5,7325.5,5656,4965.5,4378,3843.5,27915
7319.5,5494,4971.5,4483,4059,39549,7303.5,5658.5,4959,4353.5,3844,27947.5
7334.5,5505.5,4938.5,4477.5,4053.5,39532.5,7326.5,5658,4949.5,4363,3833.5,27905.5
7307.5,5499.5,4943,4455,4041.5,39563.5,7315.5,5653,4962.5,4347,3835.5,27884.5
7292.5,5508.5,4932.5,4485,4046,39646.5,7318,5643.5,4969.5,4360,3828,27848.5
7305.5,5496.5,4931,4472,4055,39622.5,7313.5,5659.5,4954.5,4345.5,3840,27820.5
7334,5490.5,4944.5,4469.5,4046.5,39666,7282,5642,4960.5,4329.5,3823.5,27903.5
7302.5,5491,4937.5,4468,4058.5,39700.5,7305.5,5649.5,4942,4346,3811,27872.5
7337.5,5504.5,4932.5,4466,4036,39751,7312,5664,4951,4355.5,3833,27796
7314,5495.5,4943.5,4472,4042,39779.5,7317.5,5659,4939.5,4351,3831,27826
7329.5,5517.5,4934,4481.5,4052.5,39815.5,7303.5,5658.5,4957,4329.5,3813.5,27778.5
