"","X","Scenario","Hunting_bias","Herring_quality","year","lb","md","ub","group"
"1",1,"Historical","Historical","Historical",2002,17369.3258116492,19156.3343789381,21554.5168355248,"Historical Historical Historical"
"2",2,"Historical","Historical","Historical",2003,18580.7190589667,20484.8847582897,22989.2665476751,"Historical Historical Historical"
"3",3,"Historical","Historical","Historical",2004,19836.6754298233,21853.837450455,24542.4430479246,"Historical Historical Historical"
"4",4,"Historical","Historical","Historical",2005,20828.9556207037,22945.7155561696,25747.219228984,"Historical Historical Historical"
"5",5,"Historical","Historical","Historical",2006,21504.5086011007,23652.7234263702,26523.8329695745,"Historical Historical Historical"
"6",6,"Historical","Historical","Historical",2007,22485.8810542014,24635.3580589427,27619.7288095815,"Historical Historical Historical"
"7",7,"Historical","Historical","Historical",2008,23431.2790123976,25659.911553736,28825.5841091824,"Historical Historical Historical"
"8",8,"Historical","Historical","Historical",2009,24293.7550482449,26561.4845091951,29836.7602565322,"Historical Historical Historical"
"9",9,"Historical","Historical","Historical",2010,25249.416943216,27580.8491350438,30998.6030274702,"Historical Historical Historical"
"10",10,"Historical","Historical","Historical",2011,26400.7753358691,28849.2453765219,32377.6158859956,"Historical Historical Historical"
"11",11,"Historical","Historical","Historical",2012,27626.2906608614,30272.6191901147,34008.0236773478,"Historical Historical Historical"
"12",12,"Historical","Historical","Historical",2013,29416.6295453242,32226.2966714594,36196.0920915029,"Historical Historical Historical"
"13",13,"Historical","Historical","Historical",2014,31037.0206060623,34075.1230279767,38318.0093559421,"Historical Historical Historical"
"14",14,"Historical","Historical","Historical",2015,33627.3835262999,36897.3688113363,41352.6011252032,"Historical Historical Historical"
"15",15,"Historical","Historical","Historical",2016,35438.5000633791,38790.183129002,43626.054294154,"Historical Historical Historical"
"16",16,"Historical","Historical","Historical",2017,37547.619914077,41178.9983816435,46353.4163465688,"Historical Historical Historical"
"17",17,"Historical","Historical","Historical",2018,39952.8136124893,43869.0645523807,49445.3940132048,"Historical Historical Historical"
"18",18,"Historical","Historical","Historical",2019,41862.8828038576,46067.2088204592,51834.0364252665,"Historical Historical Historical"
"19",19,"Historical","Historical","Historical",2020,43097.802165859,47493.7159560363,53752.9332309495,"Historical Historical Historical"
"20",20,"Historical","Historical","Historical",2021,44942.6418211118,49813.8683236542,56820.8537917246,"Historical Historical Historical"
"21",21,"Historical","Historical","Historical",2022,45792.6450561635,50949.2137398205,58175.3650281631,"Historical Historical Historical"
"22",22,"Historical","Historical","Historical",2023,47346.7769699852,52983.7531942144,60613.0579370801,"Historical Historical Historical"
"23",23,"Historical","Historical","Historical",2024,49391.808680421,55450.8567992642,63664.5897910948,"Historical Historical Historical"
"24",24,"Historical","Historical","Historical",2025,51708.6604262716,58358.6819196813,67363.7512621449,"Historical Historical Historical"
"25",25,"0","Historical","Mean of historical",2025,51707.925,58357.5,67364.5,"0 Historical Mean of historical"
"26",26,"1311","Historical","Mean of historical",2025,51707.925,58357.5,67364.5,"1311 Historical Mean of historical"
"27",27,"2400","Historical","Mean of historical",2025,51707.925,58357.5,67364.5,"2400 Historical Mean of historical"
"28",28,"3600","Historical","Mean of historical",2025,51707.925,58357.5,67364.5,"3600 Historical Mean of historical"
