ti_pkoord,ti_ikoord,ti_halyks,rhy_nimi_perus,ti_tilastopaiva,ti_tilastovuosi,ti_kategoria_id,kat_kategoria,ti_luokka_id,luo_luokka,ti_laji_id,la_laji,ti_ominaisuus_id,om_ominaisuus,ti_omtark1_id,ot1_tarkenne,ti_omtark2_id,ot2_tarkenne,ti_maara,om_dimensio,ti_origin_id,ti_tuottaja,ti_aikaleima,ti_piiri_nro,ti_hakemus_vuosi,ti_hakemus_numero,ti_elain_nro,ti_osakas_id
6714182,493833,157,Kymi-Karhula,07/08/2001,2001,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,1,yksilöä,LUPAHALLIN,150,25/06/2002 14:58,150,2001,193,34,20010807100990
6714182,493833,157,Kymi-Karhula,01/08/2008,2008,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,23,yksilöä,LUPAHALLIN,150,10/08/2009 09:13,150,2008,129,34,20080801146239
6714182,493833,157,Kymi-Karhula,15/08/2006,2006,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,16,yksilöä,LUPAHALLIN,150,09/08/2007 13:11,150,2006,121,34,20060704145313
6714182,493833,157,Kymi-Karhula,01/08/2009,2009,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,20,yksilöä,LUPAHALLIN,150,02/08/2010 10:55,150,2009,146,34,20090730113011
6714182,493833,157,Kymi-Karhula,13/08/2007,2007,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,21,yksilöä,LUPAHALLIN,150,17/09/2008 13:05,150,2007,128,34,20070628135338
6714182,493833,157,Kymi-Karhula,22/06/2005,2005,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,15,yksilöä,LUPAHALLIN,150,09/11/2006 15:02,150,2005,127,34,20050622143871
6714182,493833,157,Kymi-Karhula,10/09/2010,2010,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,32,yksilöä,LUPAHALLIN,150,29/09/2011 08:50,150,2010,239,34,20020806123654
6714182,493833,157,Kymi-Karhula,07/08/2001,2001,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,1,yksilöä,LUPAHALLIN,150,17/09/2002 14:25,150,2001,191,34,20010807095751
6714182,493833,157,Kymi-Karhula,06/08/2004,2004,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,13,yksilöä,LUPAHALLIN,150,13/09/2005 15:41,150,2004,141,34,20040805153117
6714182,493833,157,Kymi-Karhula,09/08/2002,2002,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,1,yksilöä,LUPAHALLIN,150,02/06/2003 13:45,150,2002,179,34,20020806132262
6714182,493833,157,Kymi-Karhula,08/08/2003,2003,RIISTA,Riista,RIISHYLKEE,Merihylkeet,HALLI,Halli,SAALIS,Saalis,UROS,Uros,AIK,Aikuinen,11,yksilöä,LUPAHALLIN,150,21/07/2005 11:44,150,2003,165,34,20040505103428
6706185,479838,161,Pyhtää,10/03/2008,2008,LUPAMMM,MMM poikkeusluvat,30/34,30/34 tappaminen kalavesille koituvan vakavan vahingon estämiseksi,HALLI,Halli,SAALIS,Saalis,,,,,0,yksilöä,LOMAKE_ID_19,900,21/04/2008 13:42,1000,2008,6087/72,0,
6706185,479838,161,Pyhtää,10/03/2008,2008,LUPAMMM,MMM poikkeusluvat,30/34,30/34 tappaminen kalataloudelle aiheutuvan erityisen merkittävän vahingon ehkäisemiseksi,HALLI,Halli,SAALIS,Saalis,,,,,0,yksilöä,LOMAKE_ID_19,900,21/04/2008 13:42,1000,2008,6087/72,0,
6706185,479838,161,Pyhtää,10/03/2008,2008,LUPAMMM,MMM poikkeusluvat,30/34,30/34 tappaminen kalataloudelle aiheutuvien merkittävien vahinkojen ehkäisemiseksi,HALLI,Halli,SAALIS,Saalis,,,,,0,yksilöä,LOMAKE_ID_19,900,21/04/2008 13:42,1000,2008,6087/72,0,
