id,rhy_number,species_id,amount,official_harvest,permit_number,point,point_of_time,latitude,longitude,created_at,id-2,gender,age,weight_estimated,fitness_class,antlers_type,antlers_width,antlers_points_left,antlers_points_right,not_edible,harvest_id,weight,weight_measured,antler_points_left,antler_points_right
261,571,47282,1,FALSE,NULL,NULL,2014-05-11,6823094,193018,2022-09-13 11:36:45.739896+03,295820,MALE,UNKNOWN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,261,NULL,NULL,NULL,NULL
363,625,47282,1,TRUE,NULL,NULL,2014-08-07,6654428,373270,2022-09-13 11:36:45.739896+03,297011,MALE,YOUNG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,363,60,NULL,NULL,NULL
8438,614,47282,1,TRUE,NULL,NULL,2014-08-12,6688532,472624,2022-09-13 11:36:45.739896+03,297074,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8438,150,NULL,NULL,NULL
8439,614,47282,1,TRUE,NULL,NULL,2014-08-14,6690784,475424,2022-09-13 11:36:45.739896+03,297075,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8439,150,NULL,NULL,NULL
694,619,47282,1,TRUE,NULL,NULL,2014-08-17,6634855,310495,2022-09-13 11:36:45.739896+03,297017,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,694,70,NULL,NULL,NULL
8440,614,47282,1,TRUE,NULL,NULL,2014-08-26,6688794,469281,2022-09-13 11:36:45.739896+03,297076,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8440,200,NULL,NULL,NULL
1566,602,47282,1,TRUE,NULL,NULL,2014-08-30,6656721,380286,2022-09-13 11:36:45.739896+03,297069,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1566,80,NULL,NULL,NULL
1425,503,47282,1,TRUE,NULL,NULL,2014-08-31,7048369,265055,2022-09-13 11:36:45.739896+03,297065,FEMALE,YOUNG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1425,70,NULL,NULL,NULL
1503,507,47282,1,TRUE,NULL,NULL,2014-08-31,6977079,201098,2022-09-13 11:36:45.739896+03,297070,UNKNOWN,YOUNG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1503,40,NULL,NULL,NULL
1611,619,47282,1,TRUE,NULL,NULL,2014-09-02,6630613,296360,2022-09-13 11:36:45.739896+03,298419,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1611,150,NULL,NULL,NULL
1610,619,47282,1,TRUE,NULL,NULL,2014-09-02,6630621,296389,2022-09-13 11:36:45.739896+03,298424,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1610,70,NULL,NULL,NULL
1612,619,47282,1,TRUE,NULL,NULL,2014-09-02,6630618,296351,2022-09-13 11:36:45.739896+03,298421,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1612,60,NULL,NULL,NULL
2370,653,47282,1,TRUE,NULL,NULL,2014-09-06,6647432,265985,2022-09-13 11:36:45.739896+03,298478,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2370,0,NULL,NULL,NULL
1769,204,47282,1,TRUE,NULL,NULL,2014-09-06,7285085,384781,2022-09-13 11:36:45.739896+03,297502,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1769,98,NULL,NULL,NULL
1750,621,47282,1,TRUE,NULL,NULL,2014-09-07,6630546,261960,2022-09-13 11:36:45.739896+03,298431,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1750,120,NULL,NULL,NULL
1840,504,47282,1,TRUE,NULL,NULL,2014-09-07,7046131,249724,2022-09-13 11:36:45.739896+03,298235,FEMALE,YOUNG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,40,NULL,NULL,NULL
2230,204,47282,1,TRUE,NULL,NULL,2014-09-11,7285450,383970,2022-09-13 11:36:45.739896+03,297504,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2230,65,NULL,NULL,NULL
2231,204,47282,1,TRUE,NULL,NULL,2014-09-11,7278825,387462,2022-09-13 11:36:45.739896+03,297506,FEMALE,YOUNG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2231,38,NULL,NULL,NULL
2457,653,47282,1,TRUE,NULL,NULL,2014-09-11,6649611,259672,2022-09-13 11:36:45.739896+03,298479,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2457,80,NULL,NULL,NULL
2456,653,47282,1,TRUE,NULL,NULL,2014-09-11,6644625,261042,2022-09-13 11:36:45.739896+03,298480,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2456,120,NULL,NULL,NULL
2413,619,47282,1,TRUE,NULL,NULL,2014-09-12,6630619,296375,2022-09-13 11:36:45.739896+03,298420,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2413,90,NULL,NULL,NULL
2412,619,47282,1,TRUE,NULL,NULL,2014-09-12,6630621,296382,2022-09-13 11:36:45.739896+03,298422,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2412,60,NULL,NULL,NULL
2414,619,47282,1,TRUE,NULL,NULL,2014-09-15,6630631,296380,2022-09-13 11:36:45.739896+03,298423,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2414,80,NULL,NULL,NULL
8441,614,47282,1,TRUE,NULL,NULL,2014-09-17,6690754,475518,2022-09-13 11:36:45.739896+03,298402,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8441,200,NULL,NULL,NULL
2455,503,47282,1,TRUE,NULL,NULL,2014-09-18,7055637,271647,2022-09-13 11:36:45.739896+03,298229,MALE,YOUNG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2455,75,NULL,NULL,NULL
2714,254,47282,1,TRUE,NULL,NULL,2014-09-19,7224370,408470,2022-09-13 11:36:45.739896+03,297665,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2714,70,NULL,NULL,NULL
8442,614,47282,1,TRUE,NULL,NULL,2014-09-20,6688772,469357,2022-09-13 11:36:45.739896+03,298403,UNKNOWN,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8442,150,NULL,NULL,NULL
8443,614,47282,1,TRUE,NULL,NULL,2014-09-27,6690782,475491,2022-09-13 11:36:45.739896+03,298401,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8443,200,NULL,NULL,NULL
8444,614,47282,1,TRUE,NULL,NULL,2014-09-30,6690740,475570,2022-09-13 11:36:45.739896+03,298404,UNKNOWN,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8444,150,NULL,NULL,NULL
3350,653,47282,1,TRUE,NULL,NULL,2014-10-04,6644628,261040,2022-09-13 11:36:45.739896+03,300220,MALE,YOUNG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3350,50,NULL,NULL,NULL
3431,667,47282,1,TRUE,NULL,NULL,2014-10-07,6730319,182160,2022-09-13 11:36:45.739896+03,300525,UNKNOWN,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3431,200,NULL,NULL,NULL
3836,560,47282,1,TRUE,NULL,NULL,2014-10-07,6785082,201499,2022-09-13 11:36:45.739896+03,299972,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3836,83,NULL,NULL,NULL
8445,614,47282,1,TRUE,NULL,NULL,2014-10-09,6689312,471887,2022-09-13 11:36:45.739896+03,300092,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8445,150,NULL,NULL,NULL
3991,668,47282,1,TRUE,NULL,NULL,2014-10-11,6668816,175552,2022-09-13 11:36:45.739896+03,300572,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3991,115,NULL,NULL,NULL
3829,566,47282,1,TRUE,NULL,NULL,2014-10-12,6832501,199600,2022-09-13 11:36:45.739896+03,300022,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3829,120,NULL,NULL,NULL
8446,614,47282,1,TRUE,NULL,NULL,2014-10-20,6690792,475551,2022-09-13 11:36:45.739896+03,300102,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8446,150,NULL,NULL,NULL
4346,667,47282,1,TRUE,NULL,NULL,2014-10-22,6742753,189330,2022-09-13 11:36:45.739896+03,300544,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4346,130,NULL,NULL,NULL
4730,507,47282,1,TRUE,NULL,NULL,2014-10-26,6941645,201470,2022-09-13 11:36:45.739896+03,299852,MALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4730,200,NULL,NULL,NULL
4926,653,47282,1,TRUE,NULL,NULL,2014-10-30,6648508,263747,2022-09-13 11:36:45.739896+03,300238,FEMALE,ADULT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4926,70,NULL,NULL,NULL
4914,560,47282,1,TRUE,NULL,NULL,2014-10-30,6785097,201493,2022-09-13 11:36:45.739896+03,299969,MALE,UNKNOWN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4914,66,NULL,NULL,NULL
